date,keyword,count,llt_diff,thres
2024-01-17,股市,31972.0,14072.22,1
2024-01-18,股市,68690.0,47493.67,3
2024-01-19,股市,35651.0,11225.05,1
2024-01-22,股市,58618.0,31705.26,3
2024-01-23,股市,59923.0,29516.94,3
2024-01-24,股市,46446.0,13416.06,3
2024-01-31,股市,45374.0,8923.4,2
2024-02-02,股市,73373.0,33427.77,3
2024-02-05,股市,122994.0,76782.81,3
2024-02-06,股市,77168.0,24984.48,3
2024-02-07,股市,48284.0,-5720.49,2
2024-04-16,股市,25972.0,10287.55,1
2024-08-05,股市,33567.0,17102.211,1
2024-08-06,股市,31519.0,13426.08,1
2024-09-19,股市,37093.0,18939.11,1
2024-09-24,股市,32593.0,12505.033,1
2024-09-25,股市,47585.0,25421.387,3
2024-09-26,股市,50948.0,25960.025,3
2024-09-27,股市,101988.0,71704.193,3
2024-09-30,股市,164958.0,124150.001,3
2024-10-08,股市,296975.0,236809.772,3
2024-10-09,股市,296908.0,212330.839,3
2024-10-10,股市,255401.0,150313.874,3
2024-10-11,股市,181767.0,63427.05,3
2024-10-12,股市,73898.0,0.0,2
2024-10-14,股市,139122.0,14312.041,3
2024-10-15,股市,104780.0,-22156.995,2
2024-10-16,股市,92199.0,-34328.357,2
2024-10-17,股市,82031.0,-42933.332,2
2024-10-18,股市,87277.0,-35939.055,2
2024-10-21,股市,78341.0,-43018.636,2
2024-10-22,股市,60523.0,-57743.863,2
2024-10-23,股市,55638.0,-58594.587,2
2024-10-24,股市,51525.0,-58481.997,2
2024-10-25,股市,47110.0,-58521.267,2
2024-10-28,股市,48508.0,-52884.423,2
2024-10-29,股市,45537.0,-51818.241,2
2024-11-05,股市,45044.0,-33956.085,2
2024-11-06,股市,61199.0,-15883.204,2
2024-11-07,股市,56149.0,-19690.724,2
2024-11-08,股市,56036.0,-18384.549,2
2024-11-11,股市,45465.0,-27101.4,2
2024-11-15,股市,52139.0,-11807.492,2
2024-12-10,股市,46700.0,11635.956,3
2025-01-02,股市,35604.0,12010.99,1
2025-01-03,股市,37273.0,12930.803,1
2024-01-08,股票,26291.0,10877.25,1
2024-01-17,股票,31373.0,13034.67,1
2024-01-18,股票,63805.0,42634.64,3
2024-01-19,股票,36870.0,12806.26,1
2024-01-22,股票,51824.0,25674.87,3
2024-01-23,股票,54631.0,25677.36,3
2024-01-24,股票,43947.0,12790.53,1
2024-02-02,股票,63588.0,26218.79,3
2024-02-05,股票,105359.0,62994.9,3
2024-02-06,股票,69889.0,22600.63,3
2024-02-07,股票,45196.0,-3666.81,2
2024-06-04,股票,50667.0,34004.711,3
2024-06-05,股票,33326.0,14285.063,1
2024-08-05,股票,33726.0,14217.363,1
2024-08-06,股票,32911.0,12032.009,1
2024-09-19,股票,37855.0,17172.005,1
2024-09-24,股票,35277.0,12797.861,1
2024-09-25,股票,50285.0,25729.414,3
2024-09-26,股票,54993.0,27544.38,3
2024-09-27,股票,111519.0,78373.012,3
2024-09-30,股票,187930.0,142953.098,3
2024-10-08,股票,353208.0,285358.434,3
2024-10-09,股票,322463.0,226821.49,3
2024-10-10,股票,275257.0,157776.606,3
2024-10-11,股票,198958.0,67412.624,3
2024-10-12,股票,76716.0,0.0,2
2024-10-14,股票,146151.0,8022.68,2
2024-10-15,股票,112421.0,-27461.727,2
2024-10-16,股票,101145.0,-38072.417,2
2024-10-17,股票,89539.0,-47867.089,2
2024-10-18,股票,96111.0,-39306.652,2
2024-10-21,股票,88402.0,-45058.467,2
2024-10-22,股票,70892.0,-59453.909,2
2024-10-23,股票,64788.0,-61454.332,2
2024-10-24,股票,59719.0,-62122.181,2
2024-10-25,股票,55313.0,-61939.345,2
2024-10-28,股票,57656.0,-55203.719,2
2024-10-29,股票,55964.0,-52822.579,2
2024-10-30,股票,53636.0,-51146.141,2
2024-10-31,股票,52148.0,-48706.766,2
2024-11-01,股票,55235.0,-42034.353,2
2024-11-04,股票,47341.0,-46346.228,2
2024-11-05,股票,55792.0,-34583.864,2
2024-11-06,股票,72788.0,-15758.78,2
2024-11-07,股票,68234.0,-19215.714,2
2024-11-08,股票,65806.0,-20266.528,2
2024-11-11,股票,53901.0,-30173.295,2
2024-11-12,股票,52974.0,-28602.758,2
2024-11-13,股票,49106.0,-29909.629,2
2024-11-14,股票,48794.0,-27633.884,2
2024-11-15,股票,49437.0,-24603.092,2
2024-11-18,股票,49273.0,-22575.237,2
2024-11-19,股票,45681.0,-23945.711,2
2024-12-10,股票,50151.0,8546.009,2
2025-01-03,股票,39916.0,11343.993,1
2024-01-08,a股,84163.0,38385.38,1
2024-01-17,a股,114209.0,56377.09,1
2024-01-18,a股,261415.0,190230.9,3
2024-01-19,a股,127010.0,42851.93,3
2024-01-22,a股,212449.0,118724.47,3
2024-01-23,a股,223442.0,116132.41,3
2024-01-24,a股,179009.0,60813.4,3
2024-01-25,a股,144964.0,20611.05,2
2024-01-26,a股,123683.0,-3589.32,2
2024-01-30,a股,123721.0,-5619.16,2
2024-01-31,a股,162723.0,30104.64,3
2024-02-01,a股,146854.0,10108.37,2
2024-02-02,a股,281159.0,134795.62,3
2024-02-05,a股,477464.0,305927.63,3
2024-02-06,a股,279632.0,84932.96,3
2024-02-07,a股,164984.0,-35650.27,2
2024-04-16,a股,86314.0,39134.32,1
2024-06-24,a股,70938.0,37178.278,1
2024-08-05,a股,108867.0,52309.186,1
2024-08-06,a股,91877.0,30782.852,1
2024-09-19,a股,141228.0,76874.662,3
2024-09-24,a股,120200.0,48382.547,3
2024-09-25,a股,171825.0,92227.972,3
2024-09-26,a股,181193.0,91397.337,3
2024-09-27,a股,329982.0,222956.284,3
2024-09-30,a股,499846.0,361165.265,3
2024-10-08,a股,898580.0,702565.501,3
2024-10-09,a股,882038.0,614151.053,3
2024-10-10,a股,708773.0,383836.834,3
2024-10-11,a股,512405.0,153056.37,3
2024-10-12,a股,176781.0,0.0,2
2024-10-14,a股,402272.0,26371.507,2
2024-10-15,a股,307944.0,-73002.883,2
2024-10-16,a股,272022.0,-106983.559,2
2024-10-17,a股,239088.0,-134543.192,2
2024-10-18,a股,273226.0,-95319.083,2
2024-10-21,a股,241536.0,-122258.769,2
2024-10-22,a股,179838.0,-174792.545,2
2024-10-23,a股,165020.0,-177201.995,2
2024-10-24,a股,150197.0,-178938.273,2
2024-10-25,a股,138026.0,-177536.86,2
2024-10-28,a股,145267.0,-157374.71,2
2024-10-29,a股,136241.0,-154248.75,2
2024-10-30,a股,128777.0,-149557.073,2
2024-11-01,a股,133210.0,-121744.147,2
2024-11-05,a股,146172.0,-88742.988,2
2024-11-06,a股,200296.0,-30291.13,2
2024-11-07,a股,176669.0,-51374.645,2
2024-11-08,a股,180973.0,-43722.174,2
2024-11-11,a股,142769.0,-77115.681,2
2024-11-12,a股,140248.0,-73139.38,2
2024-11-13,a股,125455.0,-81033.99,2
2024-11-14,a股,130651.0,-68954.247,2
2024-11-15,a股,138124.0,-55715.32,2
2024-11-18,a股,144348.0,-44814.757,2
2024-11-19,a股,125748.0,-58463.726,2
2024-11-22,a股,133245.0,-31026.539,2
2024-11-25,a股,121333.0,-39063.477,2
2024-12-10,a股,171988.0,62705.693,3
2025-01-02,a股,115946.0,43804.414,1
2025-01-03,a股,122838.0,47629.925,3
2025-01-06,a股,107912.0,30222.639,1
2024-01-08,上证,19194.0,6679.84,1
2024-01-17,上证,23720.0,9075.05,1
2024-01-18,上证,59649.0,42234.27,3
2024-01-19,上证,26314.0,6210.79,3
2024-01-22,上证,44123.0,22302.84,3
2024-01-23,上证,44273.0,19983.07,3
2024-01-24,上证,35104.0,8980.65,3
2024-01-25,上证,30314.0,3191.3,2
2024-01-26,上证,26231.0,-1369.48,2
2024-01-31,上证,30375.0,2423.77,2
2024-02-01,上证,29230.0,748.24,2
2024-02-02,上证,56023.0,25792.76,3
2024-02-05,上证,76316.0,42151.9,3
2024-02-06,上证,44019.0,6817.27,3
2024-02-07,上证,25586.0,-11909.81,2
2024-06-24,上证,14024.0,6339.347,1
2024-08-05,上证,18676.0,7233.2,1
2024-09-19,上证,22090.0,9503.145,1
2024-09-24,上证,20167.0,6868.451,1
2024-09-25,上证,29953.0,15434.866,3
2024-09-26,上证,31379.0,15180.243,3
2024-09-27,上证,61319.0,42018.617,3
2024-09-30,上证,98442.0,72963.542,3
2024-10-08,上证,167178.0,130761.036,3
2024-10-09,上证,155824.0,106460.815,3
2024-10-10,上证,124722.0,65490.772,3
2024-10-11,上证,90866.0,25733.56,3
2024-10-14,上证,71442.0,3507.762,2
2024-10-15,上证,55487.0,-13262.073,2
2024-10-16,上证,50746.0,-17703.384,2
2024-10-17,上证,44622.0,-22982.123,2
2024-10-18,上证,52236.0,-14629.044,2
2024-10-21,上证,44609.0,-21542.293,2
2024-10-22,上证,32792.0,-31710.763,2
2024-10-23,上证,30891.0,-31382.133,2
