,keyword,type,count
2011-01-01,股市,all,1807.000
2011-01-01,上证指数,all,2380.000
2011-01-01,a股,all,385.000
2011-01-01,纳斯达克指数,all,185.000
2011-01-01,美股行情,all,328.000
2011-01-01,股票,all,17465.000
2011-01-01,道琼斯指数,all,359.000
2011-01-01,恒生指数,all,248.000
2011-01-01,基金,all,3593.000
2011-01-01,上证,all,407.000
2011-01-01,熊市,all,183.000
2011-01-01,沪深300,all,257.000
2011-01-01,上证50,all,171.000
2011-01-01,中证500,all,138.000
2011-01-01,港股,all,249.000
2011-01-01,牛市,all,232.000
2011-01-02,上证,all,374.000
2011-01-02,熊市,all,206.000
2011-01-02,股市,all,1987.000
2011-01-02,a股,all,397.000
2011-01-02,基金,all,3562.000
2011-01-02,纳斯达克指数,all,172.000
2011-01-02,道琼斯指数,all,340.000
2011-01-02,上证50,all,143.000
2011-01-02,美股行情,all,249.000
2011-01-02,股票,all,17363.000
2011-01-02,恒生指数,all,255.000
2011-01-02,创业板指,all,57.000
2011-01-02,沪深300,all,247.000
2011-01-02,牛市,all,223.000
2011-01-02,港股,all,265.000
2011-01-02,上证指数,all,1771.000
2011-01-02,中证500,all,139.000
2011-01-03,a股,all,541.000
2011-01-03,港股,all,560.000
2011-01-03,熊市,all,206.000
2011-01-03,基金,all,4112.000
2011-01-03,上证指数,all,3102.000
2011-01-03,纳斯达克指数,all,230.000
2011-01-03,道琼斯指数,all,516.000
2011-01-03,股票,all,8893.000
2011-01-03,美股行情,all,460.000
2011-01-03,牛市,all,230.000
2011-01-03,上证,all,527.000
2011-01-03,恒生指数,all,505.000
2011-01-03,沪深300,all,321.000
2011-01-03,中证500,all,165.000
2011-01-03,上证50,all,154.000
2011-01-03,创业板指,all,124.000
2011-01-03,股市,all,2405.000
2011-01-04,熊市,all,225.000
2011-01-04,美股行情,all,699.000
2011-01-04,上证,all,1358.000
2011-01-04,股市,all,3407.000
2011-01-04,a股,all,792.000
2011-01-04,股票,all,17865.000
2011-01-04,上证指数,all,22266.000
2011-01-04,港股,all,718.000
2011-01-04,中证500,all,355.000
2011-01-04,道琼斯指数,all,766.000
2011-01-04,纳斯达克指数,all,279.000
2011-01-04,上证50,all,194.000
2011-01-04,牛市,all,293.000
2011-01-04,创业板指,all,180.000
2011-01-04,沪深300,all,641.000
2011-01-04,恒生指数,all,531.000
2011-01-04,基金,all,7779.000
2011-01-05,中证500,all,276.000
2011-01-05,美股行情,all,790.000
2011-01-05,恒生指数,all,533.000
2011-01-05,a股,all,727.000
2011-01-05,上证指数,all,22443.000
2011-01-05,上证,all,1328.000
2011-01-05,熊市,all,225.000
2011-01-05,纳斯达克指数,all,240.000
2011-01-05,道琼斯指数,all,746.000
2011-01-05,上证50,all,197.000
2011-01-05,创业板指,all,195.000
2011-01-05,港股,all,634.000
2011-01-05,股市,all,3016.000
2011-01-05,基金,all,7487.000
2011-01-05,沪深300,all,627.000
2011-01-05,股票,all,26582.000
2011-01-05,牛市,all,259.000
2011-01-06,基金,all,6972.000
2011-01-06,美股行情,all,822.000
2011-01-06,上证,all,1310.000
2011-01-06,港股,all,668.000
2011-01-06,恒生指数,all,503.000
2011-01-06,股市,all,2830.000
2011-01-06,熊市,all,226.000
2011-01-06,牛市,all,237.000
2011-01-06,上证指数,all,21570.000
2011-01-06,中证500,all,323.000
2011-01-06,上证50,all,165.000
2011-01-06,创业板指,all,180.000
2011-01-06,纳斯达克指数,all,256.000
2011-01-06,股票,all,25787.000
2011-01-06,a股,all,741.000
2011-01-06,沪深300,all,550.000
2011-01-06,道琼斯指数,all,697.000
2011-01-07,熊市,all,203.000
2011-01-07,股市,all,2620.000
2011-01-07,纳斯达克指数,all,226.000
2011-01-07,港股,all,557.000
2011-01-07,基金,all,6730.000
2011-01-07,沪深300,all,509.000
2011-01-07,美股行情,all,650.000
2011-01-07,股票,all,15183.000
2011-01-07,上证,all,1292.000
2011-01-07,上证50,all,242.000
2011-01-07,创业板指,all,199.000
2011-01-07,中证500,all,294.000
2011-01-07,恒生指数,all,502.000
2011-01-07,上证指数,all,21099.000
2011-01-07,道琼斯指数,all,618.000
2011-01-07,a股,all,656.000
2011-01-07,牛市,all,245.000
2011-01-08,上证指数,all,2727.000
2011-01-08,熊市,all,188.000
2011-01-08,创业板指,all,63.000
2011-01-08,牛市,all,213.000
2011-01-08,沪深300,all,290.000
2011-01-08,港股,all,277.000
2011-01-08,股票,all,7749.000
2011-01-08,a股,all,403.000
2011-01-08,美股行情,all,404.000
2011-01-08,上证,all,419.000
2011-01-08,股市,all,1725.000
2011-01-08,恒生指数,all,266.000
2011-01-08,道琼斯指数,all,440.000
2011-01-08,纳斯达克指数,all,191.000
2011-01-08,上证50,all,209.000
2011-01-08,中证500,all,147.000
2011-01-08,基金,all,4058.000
2011-01-09,上证,all,413.000
2011-01-09,恒生指数,all,241.000
2011-01-09,股票,all,7684.000
2011-01-09,上证指数,all,1889.000
2011-01-09,股市,all,1731.000
2011-01-09,道琼斯指数,all,339.000
2011-01-09,a股,all,454.000
2011-01-09,纳斯达克指数,all,193.000
2011-01-09,创业板指,all,57.000
2011-01-09,美股行情,all,283.000
2011-01-09,牛市,all,274.000
2011-01-09,中证500,all,152.000
2011-01-09,沪深300,all,272.000
2011-01-09,上证50,all,171.000
2011-01-09,基金,all,3554.000
2011-01-09,熊市,all,233.000
2011-01-09,港股,all,283.000
2011-01-10,纳斯达克指数,all,220.000
2011-01-10,沪深300,all,592.000
2011-01-10,基金,all,6383.000
2011-01-10,恒生指数,all,518.000
2011-01-10,上证,all,1360.000
2011-01-10,牛市,all,258.000
2011-01-10,上证50,all,177.000
2011-01-10,上证指数,all,22747.000
2011-01-10,港股,all,642.000
2011-01-10,a股,all,800.000
2011-01-10,熊市,all,228.000
2011-01-10,中证500,all,298.000
2011-01-10,美股行情,all,548.000
2011-01-10,道琼斯指数,all,511.000
2011-01-10,股市,all,2991.000
2011-01-10,创业板指,all,197.000
2011-01-10,股票,all,15444.000
2011-01-11,上证50,all,251.000
2011-01-11,股市,all,2814.000
2011-01-11,上证,all,1289.000
2011-01-11,创业板指,all,201.000
2011-01-11,中证500,all,314.000
2011-01-11,港股,all,609.000
2011-01-11,牛市,all,250.000
2011-01-11,美股行情,all,702.000
2011-01-11,股票,all,24638.000
2011-01-11,上证指数,all,22330.000
2011-01-11,恒生指数,all,510.000
2011-01-11,纳斯达克指数,all,254.000
2011-01-11,基金,all,6638.000
2011-01-11,熊市,all,197.000
2011-01-11,a股,all,659.000
2011-01-11,沪深300,all,537.000
2011-01-11,道琼斯指数,all,610.000
2011-01-12,熊市,all,200.000
2011-01-12,a股,all,673.000
2011-01-12,美股行情,all,707.000
2011-01-12,股票,all,24371.000
2011-01-12,创业板指,all,203.000
2011-01-12,中证500,all,313.000
2011-01-12,沪深300,all,527.000
2011-01-12,牛市,all,248.000
2011-01-12,上证50,all,228.000
2011-01-12,基金,all,6649.000
2011-01-12,港股,all,624.000
2011-01-12,道琼斯指数,all,588.000
2011-01-12,股市,all,2556.000
2011-01-12,上证,all,1232.000
2011-01-12,上证指数,all,20581.000
2011-01-12,恒生指数,all,450.000
2011-01-12,纳斯达克指数,all,235.000
