date,item,value,mean,bias,Q60,Q120,Q200
2014-11-17,inflow,130.000,,,,,
2014-11-17,purchase,120.823,,,,,
2014-11-18,purchase,168.020,,,,,
2014-11-18,inflow,178.450,,,,,
2014-11-19,inflow,204.570,,,,,
2014-11-19,purchase,192.988,,,,,
2014-11-20,inflow,227.330,,,,,
2014-11-20,purchase,214.407,,,,,
2014-11-21,inflow,250.740,,,,,
2014-11-21,purchase,236.402,,,,,
2014-11-24,purchase,294.967,,,,,
2014-11-24,inflow,320.300,,,,,
2014-11-25,purchase,322.467,,,,,
2014-11-25,inflow,348.830,,,,,
2014-11-26,purchase,354.393,,,,,
2014-11-26,inflow,381.780,,,,,
2014-11-27,purchase,383.080,,,,,
2014-11-27,inflow,411.680,,,,,
2014-11-28,purchase,405.542,,,,,
2014-11-28,inflow,435.130,,,,,
2014-12-01,purchase,418.721,,,,,
2014-12-01,inflow,449.110,,,,,
2014-12-02,purchase,449.874,,,,,
2014-12-02,inflow,482.220,,,,,
2014-12-03,inflow,520.830,,,,,
2014-12-03,purchase,486.723,,,,,
2014-12-04,inflow,556.040,,,,,
2014-12-04,purchase,520.313,,,,,
2014-12-05,inflow,581.710,,,,,
2014-12-05,purchase,544.808,,,,,
2014-12-08,purchase,558.968,,,,,
2014-12-08,inflow,598.480,,,,,
2014-12-09,inflow,610.070,,,,,
2014-12-09,purchase,569.210,,,,,
2014-12-10,inflow,629.480,,,,,
2014-12-10,purchase,587.574,,,,,
2014-12-11,inflow,640.220,,,,,
2014-12-11,purchase,596.722,,,,,
2014-12-12,inflow,658.840,430.790,52.937,,,
2014-12-12,purchase,613.647,401.983,52.655,,,
2014-12-15,inflow,669.520,453.527,47.625,,,
2014-12-15,purchase,623.008,423.033,47.272,,,
2014-12-16,purchase,635.267,443.245,43.322,,,
2014-12-16,inflow,682.700,475.353,43.620,,,
2014-12-17,inflow,689.180,495.717,39.027,,,
2014-12-17,purchase,640.157,461.999,38.563,,,
2014-12-18,purchase,658.456,480.709,36.976,,,
2014-12-18,inflow,708.260,515.959,37.271,,,
2014-12-19,inflow,718.970,535.294,34.313,,,
2014-12-19,purchase,667.078,498.459,33.828,,,
2014-12-22,inflow,733.250,554.147,32.321,,,
2014-12-22,purchase,680.317,515.778,31.901,,,
2014-12-23,inflow,739.780,571.826,29.372,,,
2014-12-23,purchase,686.183,532.007,28.980,,,
2014-12-29,purchase,692.875,547.328,26.592,,,
2014-12-29,inflow,747.280,588.536,26.973,,,
2014-12-30,purchase,685.913,560.527,22.369,,,
2014-12-30,inflow,740.980,603.054,22.871,,,
2014-12-31,inflow,764.100,618.392,23.562,,,
2014-12-31,purchase,685.705,572.448,19.785,,,
2015-01-05,purchase,705.727,585.142,20.608,,,
2015-01-05,inflow,810.990,636.735,27.367,,,
2015-01-06,purchase,705.496,596.604,18.252,,,
2015-01-06,inflow,831.900,655.322,26.945,,,
2015-01-07,inflow,849.430,673.808,26.064,,,
2015-01-07,purchase,708.917,607.300,16.732,,,
2015-01-08,purchase,709.495,617.033,14.985,,,
2015-01-08,inflow,860.210,691.561,24.387,,,
2015-01-09,purchase,724.027,627.223,15.434,,,
2015-01-09,inflow,876.380,709.163,23.580,,,
2015-01-12,purchase,711.292,635.230,11.974,,,
2015-01-12,inflow,865.050,724.009,19.481,,,
2015-01-13,purchase,708.785,642.235,10.362,,,
2015-01-13,inflow,863.890,737.331,17.164,,,
2015-01-14,purchase,714.724,649.139,10.103,,,
2015-01-14,inflow,871.100,750.071,16.136,,,
2015-01-15,inflow,881.180,762.558,15.556,,,
2015-01-15,purchase,721.776,656.056,10.017,,,
2015-01-16,purchase,723.044,662.436,9.149,,,
2015-01-16,inflow,885.400,774.257,14.355,,,
2015-01-19,purchase,719.613,667.882,7.746,,,
2015-01-19,inflow,882.130,784.531,12.440,,,
2015-01-20,inflow,906.370,796.134,13.846,,,
2015-01-20,purchase,741.065,674.851,9.812,,,
2015-01-21,inflow,927.720,808.666,14.722,,,
2015-01-21,purchase,760.322,682.991,11.322,,,
2015-01-22,inflow,930.220,820.243,13.408,,,
2015-01-22,purchase,761.836,690.500,10.331,,,
2015-01-23,inflow,934.460,831.121,12.434,,,
2015-01-23,purchase,764.451,697.543,9.592,,,
2015-01-26,inflow,940.330,841.522,11.742,,,
2015-01-26,purchase,768.415,704.293,9.104,,,
2015-01-27,inflow,951.700,852.015,11.700,,,
2015-01-27,purchase,777.448,711.260,9.306,,,
2015-01-28,purchase,788.867,718.651,9.771,,,
2015-01-28,inflow,970.020,863.253,12.368,,,
2015-01-29,purchase,798.622,726.268,9.962,,,
2015-01-29,inflow,998.880,876.170,14.005,,,
2015-01-30,purchase,798.918,733.187,8.965,,,
2015-01-30,inflow,1017.040,889.586,14.327,,,
2015-02-02,purchase,800.702,739.617,8.259,,,
2015-02-02,inflow,1040.401,903.950,15.095,,,
2015-02-03,inflow,1089.981,921.667,18.262,,,
2015-02-03,purchase,827.702,748.006,10.655,,,
2015-02-04,purchase,838.664,756.640,10.840,,,
2015-02-04,inflow,1111.651,939.761,18.291,,,
2015-02-05,purchase,866.996,767.150,13.015,,,
2015-02-05,inflow,1149.711,959.756,19.792,,,
2015-02-06,inflow,1165.111,979.314,18.972,,,
2015-02-06,purchase,868.603,776.812,11.816,,,
2015-02-09,inflow,1185.101,998.912,18.639,,,
2015-02-09,purchase,879.787,786.619,11.844,,,
2015-02-10,purchase,896.077,797.044,12.425,,,
2015-02-10,inflow,1203.341,1018.382,18.162,,,
2015-02-11,purchase,909.893,807.791,12.640,,,
2015-02-11,inflow,1221.011,1037.680,17.667,,,
2015-02-12,purchase,921.491,818.620,12.566,,,
2015-02-12,inflow,1235.111,1056.483,16.908,,,
2015-02-13,purchase,940.635,830.240,13.297,12.361,,
2015-02-13,inflow,1256.681,1075.549,16.841,12.467,,
2015-02-16,purchase,941.873,840.872,12.011,9.499,,
2015-02-16,inflow,1259.961,1093.112,15.264,8.642,,
2015-02-17,inflow,1263.991,1109.387,13.936,5.422,,
2015-02-17,purchase,944.086,850.702,10.977,7.196,,
2015-02-25,inflow,1275.721,1125.228,13.374,4.061,,
2015-02-25,purchase,954.201,860.559,10.881,6.983,,
2015-02-26,inflow,1272.981,1139.300,11.734,0.082,,
2015-02-26,purchase,949.674,869.046,9.278,3.412,,
2015-02-27,inflow,1281.101,1152.805,11.129,0.000,,
2015-02-27,purchase,956.399,877.365,9.008,2.811,,
2015-03-02,inflow,1292.371,1166.097,10.829,0.000,,
2015-03-02,purchase,963.854,885.602,8.836,2.428,,
2015-03-03,inflow,1298.781,1178.733,10.184,0.000,,
2015-03-03,purchase,964.793,893.144,8.022,0.616,,
2015-03-04,inflow,1305.001,1190.759,9.594,0.000,,
2015-03-04,purchase,967.846,900.259,7.508,0.000,,
2015-03-05,inflow,1313.191,1202.419,9.212,0.000,,
2015-03-05,purchase,974.265,907.307,7.380,0.000,,
2015-03-06,inflow,1317.841,1213.412,8.606,0.000,,
2015-03-06,purchase,978.163,914.055,7.013,0.000,,
2015-03-09,inflow,1324.491,1223.991,8.211,0.000,,
2015-03-09,purchase,984.050,920.721,6.878,0.000,,
2015-03-10,inflow,1325.521,1233.660,7.446,0.000,,
2015-03-10,purchase,984.579,926.803,6.234,0.000,,
2015-03-11,inflow,1335.121,1243.323,7.383,0.000,,
2015-03-11,purchase,993.337,933.140,6.451,0.468,,
2015-03-12,purchase,1009.156,940.379,7.314,2.326,,
