date,code,open,high,low,close,call_pos,call5,put_pos,put5,cp_div
2015-02-09,50ETF,28.8,28.75687834,27.82955519,28.63,9846.000,6808.000,7456.000,5596.000,1.321
2015-02-10,50ETF,28.63,29.43502448,28.49969991,28.75,15702.000,10874.000,13100.000,9872.000,1.199
2015-02-11,50ETF,26.47071045,26.47071045,26.17669115,26.44,21530.000,15644.000,19388.000,14820.000,1.110
2015-02-12,50ETF,26.38909373,26.38909373,25.77336711,25.8,27862.000,19250.000,21524.000,16009.000,1.294
2015-02-13,50ETF,24.28695844,24.28695844,22.81047295,23.41,32644.000,22349.000,34778.000,26614.000,0.939
2015-02-16,50ETF,23.5572324,24.64325302,23.5572324,23.71,34912.000,23544.000,34380.000,25732.000,1.015
2015-02-17,50ETF,23.71,25.21948507,23.66094734,24.3,35926.000,24260.000,32900.000,24115.000,1.092
2015-02-25,50ETF,26.02026504,26.99718334,26.02026504,26.33,37912.000,25610.000,32940.000,24434.000,1.151
2015-02-26,50ETF,26.33,26.40181276,25.17344033,26.1,37648.000,25442.000,34440.000,25546.000,1.093
2015-02-27,50ETF,26.74773986,27.38392119,26.74773986,27.04,43820.000,30766.000,37510.000,27579.000,1.168
2015-03-02,50ETF,28.00992468,28.71437173,28.00992468,28.05,47448.000,33389.000,40308.000,29109.000,1.177
2015-03-03,50ETF,28.05,29.02563541,27.94587651,28.45,50236.000,35450.000,42256.000,30267.000,1.189
2015-03-04,50ETF,27.88892863,27.88892863,26.79252915,27.68,53026.000,37439.000,41352.000,29351.000,1.282
2015-03-05,50ETF,27.18037313,27.18037313,26.34940331,26.67,56978.000,40435.000,42444.000,29984.000,1.342
2015-03-06,50ETF,26.67,26.67712215,25.47715408,26.47,57324.000,40719.000,42272.000,29803.000,1.356
2015-03-09,50ETF,26.70967677,27.5712797,26.70967677,27.22,61386.000,39336.000,46030.000,31337.000,1.334
2015-03-10,50ETF,26.49327174,26.49327174,25.92336778,26.22,60124.000,40099.000,45366.000,30832.000,1.325
2015-03-11,50ETF,26.22,26.60381135,25.28856536,25.86,60584.000,40570.000,45574.000,31476.000,1.329
2015-03-12,50ETF,25.86,26.71362994,25.337463,25.93,61036.000,39480.000,47700.000,31523.000,1.280
2015-03-13,50ETF,25.6904413,25.6904413,24.75508391,25.01,61436.000,40339.000,47810.000,31242.000,1.285
2015-03-16,50ETF,25.1,25.5,24.8,25.2,63826.000,41580.000,49336.000,32051.000,1.294
2015-03-17,50ETF,25.14,25.33775776,24.91345891,25.25,64906.000,43084.000,50574.000,33361.000,1.283
2015-03-18,50ETF,25.25,25.99348836,25.02941976,25.14,66812.000,44499.000,55530.000,36403.000,1.203
2015-03-19,50ETF,27.22964781,27.8648836,27.22964781,27.3,66852.000,43371.000,54936.000,35245.000,1.217
2015-03-20,50ETF,26.9222235,26.9222235,25.94217688,26.47,65880.000,42542.000,57058.000,36190.000,1.155
2015-03-23,50ETF,28.57719713,29.07504961,28.57719713,28.76,65692.000,43442.000,58142.000,36335.000,1.130
2015-03-24,50ETF,29.94181607,30.87563509,29.94181607,30.67,68616.000,45819.000,58794.000,36867.000,1.167
2015-03-25,50ETF,30.62736925,30.62736925,29.75002232,30.16,52454.000,32922.000,37210.000,23657.000,1.410
2015-03-26,50ETF,29.96262204,29.96262204,28.16861334,29.06,55412.000,33765.000,40022.000,25227.000,1.385
2015-03-27,50ETF,29.06,29.42940392,28.64458121,29.28,59730.000,37199.000,41150.000,25807.000,1.452
2015-03-30,50ETF,28.54729816,28.54729816,27.75703106,27.87,59482.000,37152.000,44190.000,26995.000,1.346
2015-03-31,50ETF,29.61492699,30.63157221,29.61492699,30.09,63728.000,39682.000,49092.000,30252.000,1.298
2015-04-01,50ETF,30.13589969,31.09369368,30.13589969,30.36,73206.000,43210.000,57512.000,35107.000,1.273
2015-04-02,50ETF,31.36782209,32.05120712,31.36782209,31.77,81546.000,46614.000,61760.000,37013.000,1.320
2015-04-03,50ETF,31.42313782,31.42313782,30.23226982,31.17,84054.000,47546.000,66568.000,38779.000,1.263
2015-04-07,50ETF,29.78368597,29.78368597,29.44077935,29.51,84750.000,47583.000,71778.000,40319.000,1.181
2015-04-08,50ETF,31.51389885,32.5286044,31.51389885,31.98,88992.000,49659.000,79254.000,43556.000,1.123
2015-04-09,50ETF,34.45084815,35.7182652,34.45084815,35.06,95218.000,52738.000,83332.000,44971.000,1.143
2015-04-10,50ETF,33.46116818,33.46116818,33.29714224,33.41,99200.000,55270.000,87056.000,47785.000,1.139
2015-04-13,50ETF,36.66313235,37.61185543,36.66313235,36.86,105096.000,59526.000,92702.000,50228.000,1.134
2015-04-14,50ETF,39.78601004,40.37871663,39.78601004,40.15,112402.000,63146.000,95558.000,51833.000,1.176
2015-04-15,50ETF,40.15,40.96215202,39.50877268,40.13,113402.000,64087.000,100034.000,54168.000,1.134
2015-04-16,50ETF,38.27885661,38.27885661,37.26344376,37.36,116572.000,67305.000,103734.000,56570.000,1.124
2015-04-17,50ETF,41.22013716,42.40654959,41.22013716,41.57,123560.000,70653.000,109954.000,59868.000,1.124
2015-04-20,50ETF,47.38353984,47.97246893,47.38353984,47.75,131952.000,77598.000,118468.000,66269.000,1.114
2015-04-21,50ETF,47.39448336,47.39448336,46.62562042,46.9,136860.000,80022.000,117890.000,66490.000,1.161
2015-04-22,50ETF,45.17006632,45.17006632,43.4115167,44.28,95604.000,51023.000,58620.000,33321.000,1.631
2015-04-23,50ETF,44.28,44.90204726,44.06598625,44.72,101882.000,53279.000,65406.000,36427.000,1.558
2015-04-24,50ETF,45.01113941,46.31679563,45.01113941,45.65,109654.000,56063.000,74302.000,40724.000,1.476
2015-04-27,50ETF,45.65,45.79438752,44.74679172,44.88,106846.000,53286.000,80926.000,43309.000,1.320
2015-04-28,50ETF,46.20929773,47.24171801,46.20929773,46.59,111342.000,55332.000,89298.000,48291.000,1.247
2015-04-29,50ETF,46.59,47.20679792,46.27230548,46.61,115032.000,56358.000,94994.000,50923.000,1.211
2015-04-30,50ETF,46.61,47.12103554,45.95593757,46.55,120468.000,58043.000,97332.000,51285.000,1.238
2015-05-04,50ETF,46.55,46.66514736,45.96138324,46.13,122796.000,58600.000,102388.000,54171.000,1.199
2015-05-05,50ETF,46.13,46.39343444,44.85963903,45.46,132028.000,61498.000,109912.000,59077.000,1.201
2015-05-06,50ETF,45.46,46.30849093,45.00057234,45.55,139688.000,63904.000,116338.000,63295.000,1.201
2015-05-07,50ETF,46.613038,46.93712996,46.613038,46.78,159958.000,71624.000,118848.000,65403.000,1.346
2015-05-08,50ETF,45.17174754,45.17174754,44.85579622,44.97,178350.000,76412.000,119774.000,66504.000,1.489
2015-05-11,50ETF,45.68743689,45.81703621,45.68743689,45.78,183244.000,76133.000,121276.000,66173.000,1.511
2015-05-12,50ETF,45.78,46.60177458,45.07017081,45.97,193572.000,79447.000,129136.000,71243.000,1.499
2015-05-13,50ETF,45.97,46.97668487,45.54061677,46.03,204944.000,83864.000,133898.000,73500.000,1.531
2015-05-14,50ETF,45.54510967,45.54510967,44.53457616,44.96,206350.000,84679.000,138884.000,75962.000,1.486
2015-05-15,50ETF,42.38673176,42.38673176,40.81350396,41.44,207474.000,84193.000,137022.000,73986.000,1.514
2015-05-18,50ETF,37.56331971,37.56331971,36.56852866,37.48,221652.000,87030.000,145896.000,80891.000,1.519
2015-05-19,50ETF,37.48,38.15351345,36.4351555,37.28,228552.000,87651.000,142936.000,78045.000,1.599
2015-05-20,50ETF,41.47489891,42.42381949,41.47489891,41.52,234694.000,91869.000,145364.000,78931.000,1.615
2015-05-21,50ETF,41.66377767,42.66528827,41.66377767,42.05,238244.000,92580.000,149602.000,80877.000,1.593
2015-05-22,50ETF,42.722725,43.3516693,42.722725,43.01,229150.000,89390.000,158726.000,86774.000,1.444
2015-05-25,50ETF,45.49302963,46.06982931,45.49302963,45.8,224778.000,90180.000,165190.000,90875.000,1.361
2015-05-26,50ETF,45.8,45.85626881,44.96733825,45.81,226212.000,89207.000,173076.000,93820.000,1.307
2015-05-27,50ETF,46.84494078,47.90529927,46.84494078,46.91,182968.000,73712.000,118298.000,61463.000,1.547
2015-05-28,50ETF,46.91,47.57413735,46.35279076,46.63,195044.000,80778.000,126558.000,67019.000,1.541
2015-05-29,50ETF,46.63,47.70221034,46.34168497,47.29,207912.000,87410.000,132804.000,72299.000,1.566
2015-06-01,50ETF,47.29,48.07663201,47.06809939,47.22,217808.000,93614.000,132272.000,68257.000,1.647
2015-06-02,50ETF,47.22,48.22345871,47.08065216,47.61,226472.000,94528.000,139126.000,72286.000,1.628
2015-06-03,50ETF,47.61,48.75574287,47.25268349,47.9,234264.000,96214.000,146924.000,78026.000,1.594
2015-06-04,50ETF,47.16948803,47.16948803,46.13148697,46.57,242288.000,99711.000,162102.000,88685.000,1.495
2015-06-05,50ETF,46.57,46.93927941,45.73510443,46.6,245486.000,100214.000,168676.000,93166.000,1.455
2015-06-08,50ETF,44.58986234,44.58986234,42.82406035,43.66,215550.000,85935.000,181146.000,99084.000,1.190
2015-06-09,50ETF,47.42543515,48.47517174,47.42543515,47.55,227398.000,91207.000,182044.000,99198.000,1.249
2015-06-10,50ETF,47.77226835,48.43420333,47.77226835,48.07,236082.000,94027.000,188088.000,98632.000,1.255
2015-06-11,50ETF,48.8441555,50.05142166,48.8441555,49.74,236670.000,95851.000,201612.000,105308.000,1.174
2015-06-12,50ETF,49.74,50.35972949,48.89099623,49.76,237600.000,97920.000,209504.000,109599.000,1.134
2015-06-15,50ETF,49.04035913,49.04035913,47.44999683,48.06,237758.000,100603.000,213288.000,110444.000,1.115
2015-06-16,50ETF,47.84989794,47.84989794,46.33685471,47.27,257024.000,108605.000,211266.000,111438.000,1.217
2015-06-17,50ETF,47.27,47.4285982,47.25115944,47.31,264608.000,109299.000,203222.000,109083.000,1.302
2015-06-18,50ETF,47.31,47.61313125,46.15045896,47.08,272892.000,116891.000,203990.000,109613.000,1.338
2015-06-19,50ETF,47.08,47.46274257,46.46895931,46.9,303044.000,129402.000,194174.000,108371.000,1.561
